Issues,Category
"Instructional Focus

Score: 2.00/4.00

The session included significant off-topic segments, such as extended discussions about feedback collection (e.g., 00:25:00–00:27:00) and unrelated tangents about best practices (e.g., 00:35:00–00:36:00). These detracted from the instructional focus.
Explanation Clarity & Structure

Score: 2.00/4.00

The explanations were often repetitive and lacked a clear, structured flow. Key concepts like 'container' and 'ruleset' were introduced but not always broken down step-by-step. The instructor frequently repeated phrases like 'so let's start' (e.g., 00:00:35–00:00:50) and did not consistently use signposts to guide the learners through the session. Code demos were present but were not always well-integrated with the slides, and there were missed opportunities for recaps.
Score: 2.00/4.00

The session had noticeable pacing issues, with the instructor spending excessive time on basic concepts (e.g., repeating the syntax for 'div' multiple times between 00:00:50–00:02:00). Some sections, like the explanation of inline styling (00:17:00–00:18:30), felt rushed compared to others. The session exceeded the expected duration, and the flow was disrupted by frequent digressions.
",Tech QA report issue
"latest version is performing poor than its previous one,.
",Tech QA report issue
In the middle of the class students started shouting and i could not complete the class,session handling issues
My class has been scheduled on the topic of coding practice work through part two but in the instructor platform I am unable to access the powerpoint and also in my learning portal also there is no powerpoint available so it is hard to teach them without a powerpoint therefore we have continued with some practice problems and made them to solve.,Scheduling issue
QA report is not generated. (FAILED),platform issues
QA report is not generated. (FAILED),platform issues
Hall - 04 --> Students are interactive and 1 or 2 students didn't get the learning portal access,Student portal
please unlock the topics which is scheduled to students,Student portal
Due to network issue the QA report generation took time.,Facilities
PLEASE UNLOCK THE TOPICS IN LEARNING PORTAL BEFORE THE CLASS STARTED ,Student portal
"PLEASE UNLOCK THE STUDENTS LEARNING PORTAL TOPICS BEFORE THE CLASS STARTED
",Student portal
"The report is deducting my marks on 'How can I convince my dad to buy me an iPhone?' this line. But this line is present in the ppt, and there are other places also. One more thing: the GenAIcourse is too theoretical and boring, so I need to joke and share some stories to keep the student engaged, but the report is deducting marks for it.",Tech QA report issue
Students are not revising the concepts after going to home ,other on ground issues
Instructor has taken 30 mins of my session today,session timing issues
"TV's are not fixed in every classroom, So please fix it as soon as possible. ",Facilities
I have recorded and submitted also but because of some error and unstable network in hall-19 it marked as completed but it is not showing the recording.,platform issues
Portal Issues,Student portal
To make students quite raised voice and it is showing red flag in report ,Tech QA report issue
"We have been facing network issues in Section 4, which is causing the display to disconnect repeatedly. In contrast, the network in Section 2 is stable and functioning well.",Facilities
My instructor platform not worked,platform issues
My inst4ructor platform not worked,platform issues
In 417 monitor is not working electric socket are not working wifi is not working If i am changing slide in monitor stop working ,Facilities
I got less than 15 mins in the class as classes were not available due to cleaning issues. After the class got cleaned wifi was not working and same session has been scheduled for me today which i took in the last class so the content is repeating for me in 3 sections.,session timing issues
"Coverage & Sequence;  Concept & Terminology Accuracy; Instructional Focus - marking attendance during session.
Unethical or Non-Instructional Conduct - things like junk food and all is mentioned in the PPT and session so cannot avoid it.
Pace & Fillers - pace cannot be constant throughout the session, needs to varied based on students response.
Simple Vocabulary & Jargon - Tool is not capturing words properly, because all Full forms were dictated explicitly.",Tech QA report issue
AC is off. ,Facilities
Instructors taking extra time in my class,session timing issues
Some time monitor automatically stop working between the session,Facilities
"1) Same content was scheduled twice in the section.
2) Smart tv was not working.
3) Wifi was not working.",Scheduling issue
Instructor platform has allotted same sessions.,platform issues
Same session allotted which i gave previously,Scheduling issue
Na,Facilities
"No mic has been provided, so it is difficult to record sessions using the laptop, and issues occur while generating the QA report. Also, since most students are not comfortable with English, I need to repeat the same thing twice so that they can properly understand the technical concepts",Tech QA report issue
NO wifi could not explain to the students te working of the coding platform ,Facilities
"class 19 have no internet.
",Facilities
I Have recorded the session in the portal but because of the glitch the session is not saved ,platform issues
Facing major issues with the platform,platform issues
"Facing issues with the platform as the transcript is not exactly the same
",platform issues
For me the portal is not able to get the report from recording so i recorded using phone and uploaded to generate report,platform issues
Evaluation Status : FAILED,platform issues
"Simple Vocabulary & Jargon,
Pace and Fillers,

",Tech QA report issue
Network is not working ,Facilities
Mic batteries and speaker volume,Facilities
Mic batteries and speaker volume,Facilities
Students are not there in the practice sessions ,session handling issues
network issue ,Facilities
Students are facing network issue due to that they are not able to write the codes ,Facilities
As the session was not completed  due to unexpected announcement.,other on ground issues
"Python Instructor took 30 minutes of my mentoring session. With in limited time, can't able to resolve all students doubts.",session timing issues
showed ppt which is in portal,other on ground issues
"screen suddenly stopped, wifi issue, mic needed, in the web development(front end )mentoring session-issue- some topics were not covered in the instructor class, so I need to explain the topic before the coding practice",other on ground issues
Ethernet cable not providing Internet in Section 1,Facilities
Mentors are not getting more practice sessions,Scheduling issue
Session is partially completed because session is 1 : 30 hour long so I was only able to complete half the session,session timing issues
Instructor platform is not working and my phone get switchoff,platform issues
Not generated yet but it is showing submitted,platform issues
"Today I was unable to join the session due to multiple issues. The session was not opening, access was not provided on time, and there were network problems as well. Because of these technical difficulties, I could not attend properly, which is now affecting my QA report. I request you to kindly provide proper access and ensure stable connectivity support for upcoming sessions so that my performance is not impacted",Facilities
I have recorded session but report is not generated ,platform issues
These action items arose due to a network issue. I didn't complete all topics in the proper way,Facilities
For mentor we not able solve the  all the coding question in 45 min  session ,session timing issues
most the responses they are not taking it from the students and thats why it is saying engagement is low,Tech QA report issue
some students past content locked,Student portal
"Internet Issue, plus attendance took 10 mins so only got 30 mins and marked as partially completed.
",session timing issues
Report is saying I am being dismissive towards the students when I only said 'Everyone had breakfast? Not feeling energetic in the morning?' when they were not responding to my simple question of CSS.,Tech QA report issue
"attendance was taken in class(10 mins gone) , last lecture was long so i completed that first , after that in remaining time i covered todays topic but still few slides left which i will cover in next class(hall 8)",session handling issues
In between class they are taking an attendance it will deviate the students minds.,session handling issues
DUE NETWORK ISSUE intstructor portal stucked and laptop audio recording missed.i will record in mobile from mext session.,Facilities
Students are playing games in mobiles and laptops even after informing ,session handling issues
"When the BOA team joins during LMS classes, the recording goes silent. This affects the class flow, lowers ratings, and may impact the report. Kindly look into this issue.",Tech QA report issue
BOA's came to class to resolve the issues with LMS for students which consumed session timings by 20 min. So QA report also noted this.,Tech QA report issue
"My system mic didn't work so, no voice coming in my session recording. ",other on ground issues
unable to record the session I used to click the recording but it didnt happen.,platform issues
Some students are facing portal issue.,Student portal
No wifi connectivity for students.  No curtains for windows low visibility on screen,Facilities
Wifi is not working and also i only have 25 min like previous mentor take the session too large,Facilities
"unspoken sentences
The transcript contains repetitive and unclear statements (e.g., 'I'm a student at the University of New York' repeated multiple times, and 'I'm going to show you the' repeated without context). This disrupts the instructional flow and does not align with the session's educational goals.",Tech QA report issue
"1) Their is no internet in class.
",Facilities
"70+ slides needed 10 more minutes , i took 10 minutes of practice session class, so that everything is covered on normal pace with detail explanation in hall 2",session timing issues
"the orientation session named ""Intro to gen ai"" is 1 hour 30 min long, so we had to deliver the session in two parts so only partial sessions's qa report is being generated, I don't know whether i should upload the remaining part or whether i should combine both the videos and upload in the instructor portal again.",platform issues
Its not accepting the response from the students ,Tech QA report issue
Internet issue,Facilities
Network not working ,Facilities
"IN CLASS 11 MY RECORDER IS WAS CONNECTED TO SOME OTHER RECORDER HENCE MY REPORT SHOW RED FLAGS.
",Tech QA report issue
"At the student’s request, I repeated the section and intentionally slowed down so the student could follow the explanation clearly. While this was necessary for their understanding, it reflected in the QA report as a slow pace during the code snippet demonstration.",Tech QA report issue
"PAUSE BUTTON SHOULD ADD IN RECORDING THE SESSION, DUE TO IN BETWEEN STAFF IS COMMING FOR TAKING THE ATTENDANCE , SO BECAUSE OF THIS 10 MINUTES BREAK I HAVE TO TAKE AND IT EFFECTING MY REPORT",Tech QA report issue
"IN LANGUAGE SESSION ITS GIVING I DIDNT GIVE PROPER DESCRIPTION FOR THE TERMINOLOGIES WHICH I USED. BUT ACTUALLY I ALREADY EXPLAIN THOSE TERMINOLOGIES IN LAST CLSS , AND EVERY STUDENT AWARE OF IT. WHY SHOULD I AGAIN EXPLAIN IN REPEATED WAY. ",Tech QA report issue
Wifi is still now working,Facilities
"TELLING TERMINOLOGIES ARE DIDNT EXPLAINED PROPERLY, WHY SHOULD I EXPLAIN THOSE TERMINOLOGIES, BECAUSE WHICH ARE ALREADY EXPLAINED IN MY PAST SESSION MULTIPLE TIMES, SO EVERY STUDENT KNOW WHAT IT IS , AGAIN WHY I NEED TO EXPLAIN. ",Tech QA report issue
Wifi is not working in office that's y i am not able to record my session from instructor platform,Facilities
reports flagged the use of Wikipedia as an inaccurate example of a static website,Tech QA report issue
flagged the use of Wikipedia as an inaccurate example of a static website.,Tech QA report issue
There was no internet in the class,Facilities
Network not working properly,Facilities
iT is saying i did not tell the students to how to go tothe code playground and how to copy the URL and how to paste it but actually what i said was that i guess that you guys must be knowing the process for doing all these things it took it in a wrong way,Tech QA report issue
Wifi is not working,Facilities
"I encountered an issue with the instructor platform where the session presentations were not being displayed. As a result, I had to access the presentation materials through my learning portal instead.
Additionally, I noticed that some of the multiple-choice questions (MCQs) included content that was not covered in the provided materials. For example, one question asked to evaluate whether ""abc"" < ""abd"" is true or false. However, in the session slides, we only discussed string comparison using the equality operator (==), and there was no mention of using other comparison operators like < for strings. Despite this, I was still required to answer the question.",Tech QA report issue
"I encountered an issue with the instructor platform where the session presentations were not being displayed. As a result, I had to access the presentation materials through my learning portal instead.
Additionally, I noticed that some of the multiple-choice questions (MCQs) included content that was not covered in the provided materials. For example, one question asked to evaluate whether ""abc"" < ""abd"" is true or false. However, in the session slides, we only discussed string comparison using the equality operator (==), and there was no mention of using other comparison operators like < for strings. Despite this, I was still required to answer the question.",Tech QA report issue
"The performance was rated ""Satisfactory"".
The session included off-topic chit-chat about breakfast.The instructor used an incorrect technical term, 'Angular braces' instead of 'angle brackets'.",Tech QA report issue
"The session recording started 30 minutes after the class began, hence the initial part of the lecture is not available in the recording.",Tech QA report issue
"During three sessions (15, 17, and 27 minutes), the recordings were not successfully submitted. Additionally, there were distractions among students that affected their focus.

Please advise on how to resolve the recording problem and manage student engagement better.",platform issues
no network in the class room so how could we record the sessions also students portal is not opening due to network issue,Facilities
"I noticed that some of the multiple-choice questions (MCQs) included content that was not covered in the provided materials. For example, one question asked to evaluate whether """"abc"""" < """"abd"""" is true or false. However, in the session slides, we only discussed string comparison using the equality operator (==), and there was no mention of using other comparison operators like < for strings. Despite this, I was still required to answer the question.""
",Student portal
"Please unlock the resources for the session after when the session got completed 
Why am telling this is I observed some students are not listening the class in the mean time they are listening to that recordings but they are doing their classroom quizzes with everyone",Student portal
"There a was no mic and wifi in class, apart from that their is construction going on top of class.",Facilities
Wifi-issue,Facilities
need curtains for the classroom for better visibility of the screen. Also internet connectivity is also not good,Facilities
"Wifi is not working, and students are soo angry with the management and also hostels have insects in their food.",Facilities
"The MCQ could not be completed as the instructor’s session extended beyond the scheduled time.""
",session timing issues
Its not taking the response from the students,Tech QA report issue
Python Instructor took 20min of my session.,session timing issues
"Mic is not provided, wifi and mobile network also not working, students are not able to do MCQ and coding practice smoothly due to internet issues, and due to network issue not able to record the session in the instructor portal, recorded in phone, due to network I have to upload the recording after reaching to the room ",Facilities
The session was completed completely but in the portal its showing as partially completed so that's why the score was very less.,Tech QA report issue
"The report which the tool is providing is not working properly i think so, because it is mentioning some actions which i have done in the class.",Tech QA report issue
Session content was too lengthy to cover in one session.,session timing issues
The code which is shown in the slides is not available to us in order to explain them clearly. So please provide the code. ,session handling issues
I have ended the session but the recording was not submitted in the portal but then uploaded in portal by phone,platform issues
I was not able to launch the classroom quiz from my learning portal for conditional statements session,platform issues
Instructors taking extra time in my class and there is a network issue ,session timing issues
"As, I have given to do from 45 to 80 slides but in the report its saying The instructor covered approximately 50-69% of the expected topics based on the transcript. The sequence of topics was inconsistent, with frequent deviations and unclear transitions between sections.",Tech QA report issue
The audio is not uploading ,platform issues
The Audio file is not uploading.,platform issues
THE RECORDING MIC WAS NOT AVAIBLE IN ROOM 12 SO I RECORDED BY THE INBUILT MIC OF LAPTOP.,platform issues
"I had recorded today’s session using the Instructor platform. When I ended the session, the platform showed that it had ended and submitted properly. However, when I later checked, I noticed that the recording was neither submitted on the platform nor saved in my downloads. As a result, I’ve unfortunately lost the recording for today’s session and am unable to access the QA report.

Additionally, since my phone didn’t have enough charge, I was unable to use it as a backup for recording.",platform issues
it was just an English exam invigilation there was nothing to teach but it has given me less score for false reason as if i did not teach the topics well ,Tech QA report issue
"No wifi, mic. A lot of time from our class is going in taking attendance.",session timing issues
There is an issue with learning portal playground it is not taking certain image url it is showing it as Name entity error.,Student portal
"Some of the actions that are generated by the ai is inaccurate like a funny things happened in the classroom, the ai is considering as wrong behaviour.",Tech QA report issue
"Some of the actions that are generated by the ai is inaccurate like a funny things happened in the classroom, the ai is considering as wrong behaviour.",Tech QA report issue
Audio didnt record from the device. Uploaded the backup audio now.,platform issues
"The report is saying 'Interaction was limited, and there were missed opportunities to engage students in problem-solving', but I interacted well with the students.",Tech QA report issue
that session was about the invigilation for the english test so i was there not to teach actually but depending on the topics its giving me very less score ,Tech QA report issue
,
"STUDENT PORTALS LOCKED, WIFI ISSUES, CONSTRUCTION NOISE DISTURBANCE DURING CLASS",Facilities
Laptop Issue when connecting to the External Display,Facilities
Portal not catching words correctly from the session.,Platform issues
Students Portal is not working still.,Student portal
Class got extended so the qa report generation is also extended,Session timing issues
"Not able to complete the session , as another class was going on so class started late.",Session timing issues
Recording not uploding,Platform issues
I recorded my session Via Instructor portal only but due to Wifi and powering issue its not uploaded and showing recording not submitted.,Platform issues
Network Issue with Instructor Portal,Platform issues
Instructor taken 30mins in my session and internet issue,Session handling issues
Time Constraints,Session handling issues
Recording are not generated most of the time portal has issues.,Platform issues
"Due to a network issue, my laptop got disconnected approximately 3 minutes after starting the class. As a result, I was unable to share the display for conducting the MCQ and coding practice as planned. Because of this, I instructed the students to start the MCQ and coding practice individually.

I informed them that they could ask me freely if they had any doubts during the session. This led to reduced audio interaction time from my side, as the students were working independently and asking questions only when needed.",Facilities
"I completed the MCQ section from 11:00 to 11:40, but left the coding section from 11:40 to 12:20 because the instructor did not give the lecture on that topic.",Scheduling issue
"I took Quiz A today. everyone completed the quiz but due to Wifi issue when i tried to end the quiz. it was not registered.

",Facilities
We want mics and seperate staff room for instructors,Facilities
The session started 10 minutes late and exceeded its expected duration,Session handling issues
"This is the second, separate evaluation report for a session conducted by this instructor on the same date, September 6, 2025.",Facilities
"Significant time was consumed by off-topic discussions on generative AI and classroom AC temperature, accounting for more than 10% of the session time.",Session handling issues
"students are not sure with the concepts that is covered by the instructor. 
students feel nervous to ask doubts and unable to solve some questions as well. ",Session handling issues
Wifi Issue,Facilities
Wifi - issue,Facilities
Wifi and Mic is not there in class.,Facilities
Wifi is still not working and due to wifi issue recording not submitted in portal & QA report not generated,Facilities
"WIFI is not Working, even personalphone network is not working in this location ,every day we and students are facing this same issue,mike not provided yet",Facilities
Python Instructor took 20 minutes of my practice session.,Session handling issues
in the audio file sometimes the file is having no sound which is different than the one which is submitted,Platform issues
wifi is not working and due to wifi students face many problems during classroom quiz,Facilities
Wifi-issue,Facilities
yes,Facilities
Having an 3 topics continuously it will effect the entire class,Session handling issues
At a Same time handling 3 sesions it will effect the QA report,Session handling issues
Mic and wifi not working. There is lot of construction noise in class. Right section is not visible on the portal of the students so I think feedback will be wrong for professors. ,Facilities
Got the class 10 min late 10 min disruptions topic too long not enough time session completed till  input indexing left,Session handling issues
Continuous disturbance from the management team succes coaches and also they took 30 min in just Class Representative selection ,Team members issue
Lots of disturbance from central team and also there are some other instructors who can in between to ask if their courses are unlocked or not,Team members issue
In the section two students are new to the class and One boy said he missed some sessions so he could not able to complete the quiz correctly. also some students started the exam early even after I mentioned them to start at 12:15PM,Session handling issues
Conducted Nested Conditional Statements as well as Problem Solving P1,Facilities
"Pacing was inconsistent, and the session exceeded its expected duration.

An overly prolonged amount of time was spent on the topic of saving and publishing code snippets.",Session handling issues
The Class got delayed for 15 mins as the projector was not working. Apart from that no Issues. ,Session handling issues
"Unable to take session due to extended lectures
",Session handling issues
"Quiz is taking 20-30 mins because of wifi and power cut.
So not able to complete session on time.
",Facilities
"Entire portal was locked to Students, so they are covering the sessions before the actual session in portal and in the classes they are feeling bored and very relaxed, Soi please lock the entire course. ",Session handling issues
"Students started the exam before mentor/instructor entering into the classroom, and they finished the exam quickly started making noise and disturbing others. It would be better if there is any code given to mentors so that they will conduct that exam. And also students planning to attempt the quiz in their homes/hostels so that if code will be given to mentors who are going to sessions they can give that code to all the students inside the classroom and they can balance.",Session handling issues
The audio for this class was merged with the audio for the last class,Tech QA report issue
feedback report having issues. one word is repeating 100 times and in audio also same noise is there in that particular time period. due to this pedagogy and language is getting low marks . at the end of the report also getting low marks and it effecting my overall ratings,Tech QA report issue
Internet Issues.,Facilities
"This is the second, separate evaluation report for a ""CSS Part 3"" session on the same date, September 8, 2025.",Tech QA report issue
"Technical issues, i did record the session but, audio was missing due to Internet issues",Facilities
"Yes, So many issues, I was on the same track as per the slides but it was showing not on the sequences",Tech QA report issue
Satisfactory performance. The instructor meets basic requirements but shows potential for growth.,Facilities
Since we have a network problem in the campus I was unable to take the session.,Facilities
"I had two topics scheduled in one lecture, I was able to complete one topic but not the other one as there was mic testing going on in the class",Session handling issues
I could not take the session bcz internet was working so the class got scheduled,Facilities
Recording got inturrupted could not get the file,Facilities
There was network issue in the class so the students unable to write code and class room quizzes,Facilities
Wifi Issue,Facilities
"internet issue, class is rescheduled (hall 7)",Facilities
"1)   My QA tool generated an incorrect result. The Height and Width slides are actually from 14 to 20, followed by Background Image slides from 21 to 29, and then the Viewport topic comes after that. So, my coverage was in the same order as the slides. However, the QA report stated:
""The instructor covered most of the topics listed in the slides, including the CSS Box Model, height, width, background-image, and background-size. However, the sequence deviated slightly, particularly with the introduction of viewport concepts (Slides 35–38) being delayed and interspersed with other topics.""

2) I would like to clarify a point from the QA report. The phrase “Excuse me, is there any issue?” was not directed toward my class students. It was asked to a few students who came to my class inquiring about others staying in a particular hostel. When I asked them why, they explained there was a hostel-related issue. Therefore, the context was specific to their query and not dismissive toward my class students, as the QA report suggests.",Tech QA report issue
"(Section-6: Introduction to Bootstrap) No issue with report as I couldn't record it due to network issue, couldn't access Instructor Platform, and needs to reschedule the class again.",Facilities
"I only repeated those two keywords because I realised that the students have faced confusion when learning these new concepts, so I repeated them with multiple examples, with pressing on each and every keyword, and finally I noticed that they understood so I asked them questions in return, and they responded well.",Tech QA report issue
"The instructor incorrectly stated that 'card' is a predefined Bootstrap class name (00:28:53), which is not entirely accurate as it depends on the Bootstrap version.' the 'card' example was in the PPT slides explaining how when one uses the 'card', it is changing the structure of the content in the webpage, so I need to tell them the basic introduction of the card class name in Bootstrap, and I couldn't mention the minor details of the Bootstrap versions, some of them taking the keyword 'card' as a bootstrap class name, and some not.",Tech QA report issue
"Please don't unlock the content which is not discussed so far, Currently the entire content was unlocked to students, So they are completing the sessions before the actual session, and during the session they are completely relaxed and overall the entire session is getting disturbed and misaligned. ",Student portal
"The session included several off-topic segments, such as extended discussions about saving code, that collectively exceeded 10% of the session time.",Session handling issues
Network Problem.,Facilities
Couldn't upload the ,Facilities
curtains for class AC not working . ,Facilities
The session was overly slow and included off-topic segments that accounted for more than 10% of the session time,Session handling issues
Issue with Instructor portal recording is not proper and it was not submitted and the extension is webm for today's recording and usually it is mp3.,Platform issues
Audio recorded but dont know it is not reflecting so Im trying to do it manually ,Platform issues
i ended the recording but did not get in in my portal,Platform issues
"Issue with the instructor portal it has not submitted the recording and the extension of recording is in .webm and usually it is .mp3. For now, I will be converting this recording to mp3 and will submit this.",Platform issues
Today's session(Programming with python) was scheduled earlier and this lecture was taken by the instructor but today this was scheduled for unlocking classroom quizzes only which were locked on student portals and in this session students attempted their classroom quizzes which they could not complete at that time when this session was scheduled there was no explanation about this topic in the class. According to that instructor portal generated the report.,Scheduling issue
"There were two topics today: one for 14 minutes and one for 45 minutes. In the first recording, I explained the recap, but in the second one I didn’t. Because of that, I got a low rating.  ",Tech QA report issue
"While reviewing the transcript, I noticed a repetitive error. The same phrases (""And there"" and ""What's up"") are repeated continuously, which seems to be a bug or an issue with the transcription process.",Tech QA report issue
"I submitted the recording but the recording is saved as a WEBM file and shows recording not submitted in the instructor portal, i tried converting it to mp3 but it is also taking too much time. ",Platform issues
"I recorded the session from 1:30 to 2:30 on the instructor platform, but due to a technical issue, the recording was not submitted.",Platform issues
Network Issue,Facilities
audio did not uploading and file download in WEBM format not in the mp3,Platform issues
"The recorded audio is not submitting automatically, and it is downloading in the .webm format, which i am unable to submit manually",Platform issues
Instructor taken 15mins of my session internet issue ,Session handling issues
I don't have access to the instructor platform and already informed to PM.,Team members issue
portal is not even taking the recording,Platform issues
"We need 2 TV's in every class and also please don't unlock the content which is not discussed in the classroom, because students are completing the sessions before discussing in classroom. ",Facilities
The session pacing was inconsistent and exceeded the expected duration,Session handling issues
"i recorded the session , but Q/A report is not generated",Platform issues
"Actually, I have recorded the sessions but it didn't submitted because of some technical issues I don't know why It didn't submitted yet
It's might be instructor platform technical issue I haven't recorded it in mobile, that's why I can't be able to do anything",Platform issues
"I am software development mentor , Did i need to record video in instructor platform",Facilities
My class was good but students asked lots of doubts while practicing and we took more time in solving the errors and trying to do the code. that's why most of my recording is silent. and i got low score in QA report,Tech QA report issue
recording submission falied,Platform issues
I  didn't check the schedule..,Session handling issues
Actually what i am feeling with this QA and recording i am losing my original teaching style.,Other on ground issues
Unable to access reading material on instructor portal.,Platform issues
It's mentoring and Module Quiz session ,Session timing issues
Recording is being download but automatically it is not getting submitted,Platform issues
audio file is not getting uploaded on the instructor portal. ,Platform issues
Session recorded successfully but it is in  .wedm format ,Platform issues
The content cannot be delivered in 1 session at least 2 sessions are needed to cover the content please devide the content thoughtfuly. Make sure the content in the slides are devided so that they can be completed in a 50min-1hr session.,Scheduling issue
recording failed,Platform issues
No Access to the instructor portal,Platform issues
"Report not generated, uploaded the recording manually.",Platform issues
Recorded audio file is not getting directly submitted.,Platform issues
Today's session was related to the module quiz but instructor portal generated QA reports according to the lecture content not specifically according to module quiz so it resulted in low scores.,Tech QA report issue
Instructor Platform Issue,Platform issues
I didn't record audio because I was conducting Module Quiz 1 in Section 2.,Platform issues
Network Issue,Facilities
"statred the recording but didnt captured any audio or voice 
",Facilities
recording failed,Facilities
its not getting submitted after finishing the session,Platform issues
"Morning Session, Recording issue I have faced it",Platform issues
Please don't unlock the sessions which are not discussed in the sessions. ,Student portal
"Time is very less for the session the session needs 2-3 hrs to be completed it is impossible to complete it in 50mins
",Session timing issues
network issues facing,Facilities
"Mic always have low battery and i always have to ask facilities to change that in the middle of the session 
many difficulties are encountered in the instructor platform, like today also i recorded a session and it says recording not submitted and the recording is also not saved locally.
",Facilities
Report not generated.,Platform issues
Because of the power cut and internet issues i could not take the class,Facilities
light got just after 20 minutes so lecture is half completed,Facilities
Instructor platform did not submitted the recording when I stopped the recording,Platform issues
"There is no power or wifi, so I am unable to conduct the classes.",Facilities
"Recording is not submitted automatically, I have to upload it from the downloaded recording after the session. And the recording extension is webm which is not supported by portal when uploading the recording. Please resolve these issue in the portal regarding recordings.",Platform issues
Recorded  but Suddenly internet got intrupped ,Facilities
the audio is getting downloaded but it's not submitted in Instructor Portal,Platform issues
Recorded audios not getting uploaded in the instructor portal directly.,Platform issues
"In Section -18 i had  a session at 12 , the recording mic had no charge in it , and the transcript was not generated properly.",Facilities
"Section-6: No issues with the report, but I couldn't record it fully because the electricity and the WiFi went off in the middle of the session. ",Facilities
No curtains in the class too much reflection. electricity went out 5-6 times which disrupted the class. The microphone was not working.,Facilities
"While Recording in Instructor Platform when we stop recording, page is reloading and recording is not getting downloaded or Uploaded in the Platform.",Platform issues
Class was cancelled as there was a blackout due to powercut.,Facilities
"session is lengthy , few slides still let , i will cover that in next class",Session handling issues
"recording not submitted automatically and report not generated.
",Platform issues
audio is downloaded but not sumitted in the instructor portal so submitted manually,Platform issues
Internet Issues,Facilities
Faced Network issue and recording is also not saved i had to upload the one i saved in my phone.,Facilities
Most of the times the recording is not submitted in the Instructor Platform when I use Instructor Platform  to record the audio.,Platform issues
report not generated and recording not submitted automatically ,Platform issues
Internet Issue,Platform issues
Python instructor took 20min of my session time and internet issue still continues.,Session timing issues
due to some backend issue the test was not going to conducted,Platform issues
In morning i was having exam supervison so i have'nt recorded the session.,Scheduling issue
recording not submitted and report not generated.,Platform issues
Instructor platform is not submitting the recording,Platform issues
report did not get generated because the recording was stopped after 30 mins ,Platform issues
report not generated.,Platform issues
Frontend Instructor taken 20mins of my session ,Session handling issues
The session was not uploaded. ,Platform issues
There was some problem with recorder mic and transcript was not generated properly ,Facilities
"report not generated, not submitted automatically",Platform issues
the instructor allowed a student to sit in the exam hall from the different section but the thing is as soon as i figured it out and told him to leave he left the class but for that it is taking my behavioral red flag,Tech QA report issue
so it was just a exam session which i had to take but there was no concepts to teach but in the middle the audio recorder mic got charged out and  stopped recording so the entire session was not recorded thats why i got very less marks please see this ,Facilities
"Network issue, not use to use my laptop. students were not able to use laptops.",Facilities
The Status is Failed.,Platform issues
recording not submitted and it did not got downloaded ,Platform issues
internet issue,Facilities
There were lot of power cuts in between the class.,Facilities
"There was some problem with recording mic ,it didn't record my session.",Facilities
lecture went little bit lengthy because problem solving was combined with loops topic,Session handling issues
"Date and Topic: 15/09/2025 and Approach to Develop Layout: 'Clarify the explanation of 'justify-content-between' to emphasize that it distributes items evenly with space between them.' I actually did not give any kind of explanation regarding the 'justify-content-between' since it is not in the syllabus for now. What really did happen was one student suggested using 'justify-content-between', but when I corrected him that we should use 'justify-content-center', he said he forgot the term 'center' and said 'between'. The student was the one who first talked about the 'justify-content-between', not the instructor.",Tech QA report issue
"audio is downloaded but not submitting in instructor portal
",Platform issues
"Recording not getting submitted on the portal automatically, we had to submit it manually.",Platform issues
"On uploading the recording of the class (since i'm a mentor) , instead of generating the QA report, it's showing failed. and the transcript is extremely erroneous and repeating the same sentence.",Tech QA report issue
"During the session, students faced Wi-Fi issues, the classroom had no air conditioning, and a power failure caused the projector to shut down in the middle of the session.
",Facilities
I couldn't take the class. Date: 15-09-2025 Time: 11:30-12:30,Session handling issues
Was only able to take 60-70% of the class,Session handling issues
Recording not submitted so uploaded it,Platform issues
"I didn't take my class properly due to administrative issues, so I took only 10 10-minute class, remaining part of time goes to administrative task.  ",Team members issue
"I couldn’t attend the 10–11 AM class today as train was delayed while coming from home. I joined at 11 AM to class.
Apologies for the inconvenience.",Other on ground issues
"on 15 sept 2025, 2 mentoring session on the conditional statement was scheduled . For the first one (12:30 to 1:30), i was unable to take class as the theory for that class was not at all covered and even i was not able to share the screen on the smart board to brief out about the session and start with the MCQ+Coding. For the second session(3:40 to 4:40), the theory was not completed by the instructor due to the wifi issue. but since i was able to share the screen so i started with the coding practice on the same topic but students were not able to do the practice due to wifi issue. but when i'm trying to upload the recording, it's getting failed again and again and transcript is also very erroneous. ",Facilities
"Got the portal access yesterday, learned to use it today(Got the KT from fellow instructors), changed the working laptop, booted the new system. Will start recording from tomorrow for sure.",Other on ground issues
16th sept hall 12 class from 2 to 3 i started recording the session with the mic plugged in the laptop  but it stopeed working the mic for that my audio was not nrecorded but i have observed my mic was on the blue light was blinking so it did not record anything that why i have got 0 in it ,Facilities
"
Students were unable to complete all the coding practice questions in a single session, as only one practice session is currently being assigned to them.",Scheduling issue
Wifi was not there,Facilities
"I got the Back-end Coding Practice in place of Front-end that' why I didn't record.
",Scheduling issue
Wifi issue ,Facilities
